,Unnamed: 0,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
0,0,A. Morin,Agua Grande,1876,2016,63,France,3.75, ,Sao Tome
1,1,A. Morin,Kpime,1676,2015,70,France,2.75, ,Togo
2,2,A. Morin,Atsane,1676,2015,70,France,3.0, ,Togo
3,3,A. Morin,Akata,1680,2015,70,France,3.5, ,Togo
4,4,A. Morin,Quilla,1704,2015,70,France,3.5, ,Peru
5,5,A. Morin,Carenero,1315,2014,70,France,2.75,Criollo,Venezuela
6,6,A. Morin,Cuba,1315,2014,70,France,3.5, ,Cuba
7,7,A. Morin,Sur del Lago,1315,2014,70,France,3.5,Criollo,Venezuela
8,8,A. Morin,Puerto Cabello,1319,2014,70,France,3.75,Criollo,Venezuela
9,9,A. Morin,Pablino,1319,2014,70,France,4.0, ,Peru
10,10,A. Morin,Panama,1011,2013,70,France,2.75, ,Panama
11,11,A. Morin,Madagascar,1011,2013,70,France,3.0,Criollo,Madagascar
12,12,A. Morin,Brazil,1011,2013,70,France,3.25, ,Brazil
13,13,A. Morin,Equateur,1011,2013,70,France,3.75, ,Ecuador
14,14,A. Morin,Colombie,1015,2013,70,France,2.75, ,Colombia
15,15,A. Morin,Birmanie,1015,2013,70,France,3.0, ,Burma
16,16,A. Morin,Papua New Guinea,1015,2013,70,France,3.25, ,Papua New Guinea
17,17,A. Morin,Chuao,1015,2013,70,France,4.0,Trinitario,Venezuela
18,18,A. Morin,Piura,1019,2013,70,France,3.25, ,Peru
19,19,A. Morin,Chanchamayo Province,1019,2013,70,France,3.5, ,Peru
20,20,A. Morin,Chanchamayo Province,1019,2013,63,France,4.0, ,Peru
21,21,A. Morin,Bolivia,797,2012,70,France,3.5, ,Bolivia
22,22,A. Morin,Peru,797,2012,63,France,3.75, ,Peru
23,23,Acalli,"Chulucanas, El Platanal",1462,2015,70,U.S.A.,3.75, ,Peru
24,24,Acalli,"Tumbes, Norandino",1470,2015,70,U.S.A.,3.75,Criollo,Peru
25,25,Adi,Vanua Levu,705,2011,60,Fiji,2.75,Trinitario,Fiji
26,26,Adi,"Vanua Levu, Toto-A",705,2011,80,Fiji,3.25,Trinitario,Fiji
27,27,Adi,Vanua Levu,705,2011,88,Fiji,3.5,Trinitario,Fiji
28,28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72,Fiji,3.5,Trinitario,Fiji
29,29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55,Ecuador,2.75,Forastero (Arriba),Ecuador
30,30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70,Ecuador,3.0,Forastero (Arriba),Ecuador
31,31,Ah Cacao,Tabasco,316,2009,70,Mexico,3.0,Criollo,Mexico
32,32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75,Switzerland,3.75,Trinitario,Indonesia
33,33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75,Switzerland,2.75,Criollo,Madagascar
34,34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75,Switzerland,2.75,Forastero,Brazil
35,35,Alain Ducasse,Trinite,1215,2014,65,France,2.75,Trinitario,Trinidad
36,36,Alain Ducasse,Vietnam,1215,2014,75,France,2.75,Trinitario,Vietnam
37,37,Alain Ducasse,Madagascar,1215,2014,75,France,3.0,Trinitario,Madagascar
38,38,Alain Ducasse,Chuao,1061,2013,75,France,2.5,Trinitario,Venezuela
39,39,Alain Ducasse,"Piura, Perou",1173,2013,75,France,2.5, ,Peru
40,40,Alexandre,"Winak Coop, Napo",1944,2017,70,Netherlands,3.5,Forastero (Nacional),Ecuador
41,41,Alexandre,"La Dalia, Matagalpa",1944,2017,70,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
42,42,Alexandre,Tien Giang,1944,2017,70,Netherlands,3.5,Trinitario,Vietnam
